City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current description
260,Maceio,BR,-9.67,-35.74,68.0,94,20,2.24,few clouds
261,Chuhar Kana,PK,31.75,73.8,84.2,79,20,6.62,smoke
262,Lapy,PL,52.99,22.88,48.0,100,44,9.89,scattered clouds
263,Nizhniy Mamon,RU,50.19,40.51,56.39,36,100,12.28,overcast clouds
264,Rafraf,TN,37.19,10.18,69.8,83,20,2.24,few clouds
265,Kruisfontein,ZA,-34.0,24.73,48.94,87,0,4.59,clear sky
266,Sept-Iles,CA,50.2,-66.38,28.4,86,5,2.24,clear sky
267,Korem,ET,12.51,39.52,53.64,76,0,1.43,clear sky
268,Patrasaer,IN,23.22,87.52,86.05,80,99,5.21,overcast clouds
269,Sao Miguel Do Araguaia,BR,-13.28,-50.16,77.76,30,4,2.8,clear sky
270,Mabaruma,GY,8.2,-59.78,75.92,92,1,2.19,clear sky
271,Lahijan,IR,37.21,50.0,66.2,100,20,1.1,few clouds
272,Ambanja,MG,-13.68,48.45,70.83,75,85,2.37,overcast clouds
273,Upata,VE,8.01,-62.4,82.0,81,92,1.99,overcast clouds
274,Urumqi,CN,43.8,87.6,64.4,39,0,11.18,clear sky
275,Wachtersbach,DE,50.26,9.3,54.0,77,0,10.4,clear sky
276,Astana,KZ,51.18,71.45,48.2,87,75,11.18,broken clouds
277,Valparaiso,CL,-33.04,-71.63,66.2,63,0,9.17,clear sky
278,Jumla,NP,29.27,82.18,68.34,56,36,2.95,scattered clouds
279,Aracati,BR,-4.56,-37.77,76.14,72,0,11.1,clear sky
280,Asyut,EG,27.18,31.18,78.21,46,0,7.4,clear sky
281,Snezhnogorsk,RU,69.19,33.25,37.4,93,75,4.47,broken clouds
282,Altamira,BR,-3.2,-52.21,79.34,63,10,2.71,clear sky
283,Sorland,NO,67.67,12.69,51.48,85,100,31.7,overcast clouds
284,Meulaboh,ID,4.14,96.13,78.1,81,100,2.89,overcast clouds
285,Kamenka,RU,51.32,42.77,54.0,45,100,16.46,overcast clouds
286,Bombay,IN,19.01,72.85,80.6,94,75,3.83,mist
287,Ullapool,GB,57.9,-5.16,57.0,84,47,1.01,scattered clouds
288,Malatya,TR,38.5,38.0,62.6,42,0,2.24,clear sky
289,Caravelas,BR,-17.71,-39.25,70.45,81,75,6.69,broken clouds
290,Voskresenskoye,RU,56.84,45.43,53.2,78,100,10.8,overcast clouds
291,Tabuk,PH,17.42,121.44,86.49,66,0,6.82,clear sky
292,Conceicao Do Araguaia,BR,-8.26,-49.26,80.65,44,88,1.81,overcast clouds
293,La Sarre,CA,48.8,-79.2,33.71,87,21,6.15,light rain
294,Hammerfest,NO,70.66,23.68,44.6,75,20,24.16,few clouds
295,Bonavista,CA,48.65,-53.11,59.9,88,100,17.65,light rain
296,Assomada,CV,15.1,-23.68,74.21,93,0,4.92,clear sky
297,Kovdor,RU,67.57,30.48,37.2,89,100,7.49,overcast clouds
298,Pimentel,PE,-6.84,-79.93,59.34,89,10,7.96,clear sky
299,Guarapari,BR,-20.67,-40.5,75.99,78,0,11.41,clear sky
300,Manaure,CO,11.78,-72.44,84.58,70,3,11.12,clear sky
301,Porto Novo,BJ,6.5,2.6,78.8,83,20,9.17,few clouds
302,Mezen,RU,65.85,44.24,33.3,94,16,3.91,few clouds
303,Saurimo,AO,-9.66,20.39,70.25,71,98,3.44,overcast clouds
304,Khor,RU,47.89,134.95,65.82,67,42,4.43,scattered clouds
305,Aksarka,RU,66.56,67.8,44.13,88,100,13.78,light rain
306,Beloha,MG,-25.17,45.05,63.18,94,0,3.94,clear sky
307,Coihaique,CL,-45.58,-72.07,41.0,80,75,6.93,light rain
308,Clarence Town,AU,-32.58,151.78,66.99,88,90,17.22,overcast clouds
309,Straumen,NO,63.87,11.3,55.0,93,90,18.34,light intensity drizzle
310,Akdepe,TM,42.06,59.38,48.2,66,0,6.93,clear sky
311,Parfenyevo,RU,58.48,43.41,54.19,96,100,4.79,overcast clouds
